Year_Month,Sales,Profit,Orders,Profit_Margin_%
2014-11,555279.027,62856.5879,1077,11.319820278391317
2014-12,503143.69348,46916.52068,1093,9.324676287901228
2014-09,481157.2437,67979.4511,1017,14.128323326747
2014-08,456619.94236,53542.89496,843,11.725921273448606
2014-10,422766.62916,58209.83476,810,13.768786546766428
2013-12,405454.37802,50202.871119999996,825,12.381879156210177
2014-06,401814.0631,43778.6028,899,10.895239072084134
2013-06,396519.6119,45478.4134,724,11.469398242896848
2013-09,376619.24568,38905.66778,836,10.33023888881578
2013-11,373989.3601,48062.9967,789,12.851434245923086
2012-12,338256.9666,32950.751299999996,628,9.741337076130453
2011-12,333925.7346,40647.984000000004,620,12.172761721611858
2013-08,326488.78936,31023.66846,692,9.502215534203847
2012-11,323512.4169,31820.7218,716,9.836012510714855
2012-08,303142.94238,43573.87858,522,14.374036960220124
2011-11,298496.53752,32709.17772,563,10.957975590523693
2013-10,293406.64288,42433.22258,580,14.46225694261282
2011-09,290214.45534,35776.88394,527,12.32774015273832
2012-09,289389.16564,27776.18034,641,9.598210174375897
2014-05,288401.04614,33953.557740000004,667,11.773035567810581
2014-03,263100.77262,37357.260519999996,530,14.19884105545961
2013-05,260498.5647,28495.6941,522,10.9389063747114
2014-07,258705.68048,28035.87258,540,10.83697602927872
2012-06,256175.69842,34407.15362,571,13.431076340266076
2012-10,252939.8502,30662.882700000002,499,12.122598584507267
2014-04,242771.8613,23782.3012,523,9.796152269315735
2014-01,241268.55566,28001.38626,450,11.60589956838804
2013-07,229928.952,28863.8272,447,12.553367876873548
2011-06,215207.38022,23415.24702,468,10.880317857158662
2012-05,208364.89124,29876.70374,413,14.338645806498779
2011-08,207581.49122,23713.66772,443,11.423787150111409
2013-01,199185.90738,26810.55968,345,13.460068552365875
2011-10,199071.26404,25963.41834,401,13.04227331112093
2013-03,198594.03012,23433.77462,411,11.799838396874364
2014-02,184837.35556,19751.69996,385,10.685989258047142
2013-04,177821.31684,19462.03844,394,10.944716182431348
2013-02,167239.6504,23762.4961,306,14.208649709064447
2012-03,163076.77116,17992.917559999998,337,11.033403121739854
2012-04,161052.26952,17366.96722,322,10.783435260962474
2011-05,146747.8361,12183.8287,295,8.302561062431913
2011-03,145729.36736,15303.56826,277,10.501361899276688
2012-07,145236.78512,15585.38842,324,10.731019973433574
2012-01,135780.72024,10401.637639999999,260,7.660614571505089
2011-04,116915.76418,12902.32438,267,11.035572893434601
2011-07,115510.41912,5585.00352,250,4.835064717580084
2012-02,100510.21698,15000.09618,230,14.92395164462215
2011-01,98898.48886,8321.80096,216,8.414487476932315
2011-02,91152.15698,12417.90698,183,13.623272768766903
